Feature_Name,Category,Relevance_Rank,Justification
location_x,Spatial Coordinates,1,Direct proxy for offensive pitch territory and goal threat.
dist_to_goal,Spatial Goal Proximity,2,Non-linear determinant of probability of scoring within next n actions.
defenders_in_goal_cone,360 Positional Snapshot,3,Measures defensive density between ball and goal mouth; captures off-ball blocking.
closest_opp_dist,360 Defensive Pressure,4,"Quantifies real-time pressing intensity on actor, influencing pass execution risk."
opponents_within_3m,360 Defensive Density,5,Measures immediate high-intensity suffocation / press-resistance requirement.
forward_passing_options,360 Off-Ball Support,6,Catalytic indicator of teammate readiness for progressive combination play.
total_visible,360 Camera & Zone Context,7,Controls for broadcast frame FOV and general box/midfield congestion.
play_pattern,Tactical Phase,8,"Distinguishes regular open play from counter-attacks, corners, and set-pieces."
pass_length,Action Dynamics,9,Progressive action distance directly drives delta in offensive probability.
opponents_eliminated,360 Line-Breaking,4,Counts opponents behind the ball-carrier (already beaten); primary signal for midfield line-breaking value.
pressing_intensity,360 Collective Pressure,3,Sum of 1/d for opponents within 10 yards — continuous collective pressure signal. Midfielders completing actions under high PI earn the most credit.
central_corridor,360 Zone Flag,5,Binary flag for central channel (y=22-58). Modrić/Busquets operate here; actions in this zone have highest catalytic potential.
spatial_superiority,360 Local Balance,6,Local teammate minus opponent count within 8m. Captures created overloads — midfielder positioning intelligence made quantitative.
short_combo_options,360 Combination Play,7,Teammates within 5m. Measures triangle/wall-pass availability — the hallmark of elite midfield combination play under pressure.
defensive_cover,360 Structural Depth,8,Teammates strictly behind ball carrier. Quantifies disciplined recovery cover — essential for buildup play from deep.
angle_to_goal,Spatial Goal Proximity,10,Shooting/creation angle affects both direct and secondary threat creation.
